name,link,location,continent,country,region,locality,rating,elev_diff,min_alt,max_alt,total_km,easy_km,inter_km,diff_km,num_lifts,price,current_season,general_season,opening_times,approx_season_start,approx_season_end,original_currency,original_value,exchange_rate,usd_price
Ischgl/​Samnaun – Silvretta Arena,https://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,Europe > Austria > Tyrol (Tirol) > Tiroler Oberland > Landeck > Paznaun-Ischgl | Europe > Switzerland > Eastern Switzerland > Graubünden > Engadin Samnaun Val Müstair,Europe,Switzerland | Austria,Tyrol (Tirol) > Tiroler Oberland > Landeck | Eastern Switzerland > Graubünden,Paznaun-Ischgl | Engadin Samnaun Val Müstair,4.8,1512 m,1360 m,2872 m,239 km,47 km,140 km,52 km,46,"€ 79,-",2025-11-27 - 2026-05-03,late November - early May,08:30 - 16:00,11-23,05-07,EUR,79.0,1.1553,91.2687
Arosa Lenzerheide,https://www.skiresort.info/ski-resort/arosa-lenzerheide/,Europe > Switzerland > Eastern Switzerland > Graubünden > Arosa | Europe > Switzerland > Eastern Switzerland > Graubünden > Lenzerheide,Europe,Switzerland,Eastern Switzerland > Graubünden | Eastern Switzerland > Graubünden,Arosa | Lenzerheide,4.7,1636 m,1229 m,2865 m,225 km,110 km,87 km,28 km,43,"SFr. 89,- / approx. € 96,-",2025-11-15 - 2026-04-12,late November - mid April,08:30 - 16:30,11-23,04-15,CHF,89.0,1.2428,110.60919999999999
Pfelders (Moos in Passeier),https://www.skiresort.info/ski-resort/pfelders-moos-in-passeier/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Merano and Environs > Passeier Valley (Passeiertal),Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Merano and Environs,Passeier Valley (Passeiertal),3.7,901 m,1601 m,2502 m,18 km,5 km,9 km,4 km,4,"€ 55,-",2025-12-06 - 2026-04-12,early December - mid April,09:00 - 16:30,12-07,04-15,EUR,55.0,1.1553,63.5415
Großglockner Resort Kals-Matrei,https://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,Europe > Austria > Tyrol (Tirol) > Osttirol (East Tyrol),Europe,Austria,Tyrol (Tirol),Osttirol (East Tyrol),4.2,1493 m,933 m,2426 m,40 km,8.5 km,25.5 km,6 km,12,"€ 70,-",2025-12-06 - 2026-04-12,mid December - mid April,09:00 - 16:30,12-15,04-15,EUR,70.0,1.1553,80.871
Nauders am Reschenpass – Bergkastel,https://www.skiresort.info/ski-resort/nauders-am-reschenpass-bergkastel/,Europe > Austria > Tyrol (Tirol) > Tiroler Oberland (region) > Landeck > Tiroler Oberland,Europe,Austria,Tyrol (Tirol) > Tiroler Oberland (region) > Landeck,Tiroler Oberland,4.2,1350 m,1400 m,2750 m,75 km,25 km,36 km,14 km,11,"€ 65,-",2025-12-12 - 2026-04-10,early December - late April,08:30 - 16:00,12-07,04-23,EUR,65.0,1.1553,75.0945
Arber,https://www.skiresort.info/ski-resort/arber/,Europe > Germany > Bavaria (Bayern) > Bavarian Forest (Bayerische Wald) > Arberland,Europe,Germany,Bavaria (Bayern) > Bavarian Forest (Bayerische Wald),Arberland,3.7,406 m,1050 m,1456 m,11.5 km,4.5 km,4 km,3 km,6,"€ 45,-",2025-12-13 - 2026-03-29,mid December - late March,08:30 - 16:00,12-15,03-23,EUR,45.0,1.1553,51.9885
Hochoetz – Oetz,https://www.skiresort.info/ski-resort/hochoetz-oetz/,Europe > Austria > Tyrol (Tirol) > Tiroler Oberland (region) > Imst (District) > Ötztal,Europe,Austria,Tyrol (Tirol) > Tiroler Oberland (region) > Imst (District),Ötztal,4,862 m,1410 m,2272 m,37.5 km,12 km,21.5 km,4 km,15,"€ 62,-",2025-12-06 - 2026-04-18,early December - mid April,08:45 - 16:30,12-07,04-15,EUR,62.0,1.1553,71.6286
Wildkogel – Neukirchen/​Bramberg,https://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/,Europe > Austria > Salzburg (Salzburger Land) > Pinzgau | Europe > Austria > Salzburg (Salzburger Land) > Zell am See,Europe,Austria,Salzburg (Salzburger Land) | Salzburg (Salzburger Land),Pinzgau | Zell am See,4.4,1330 m,820 m,2150 m,75 km,35 km,30 km,10 km,20,"€ 67,-",,mid December - mid April,08:30 - 16:30,12-15,04-15,EUR,67.0,1.1553,77.4051
Kaltenbach – Hochzillertal/​Hochfügen (SKi-optimal),https://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,Europe > Austria > Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal > Erste Ferienregion im Zillertal,Europe,Austria,Tyrol (Tirol) > Tiroler Unterland > Schwaz > Zillertal,Erste Ferienregion im Zillertal,4.7,1778 m,600 m,2378 m,88.9 km,38.3 km,37.7 km,12.9 km,38,"€ 80,-",,late November - late April,07:30 - 17:00,11-23,04-23,EUR,80.0,1.1553,92.424
Hochkönig – Maria Alm/​Dienten/​Mühlbach,https://www.skiresort.info/ski-resort/hochkoenig-maria-almdientenmuehlbach/,Europe > Austria > Salzburg (Salzburger Land) > Hochkönig,Europe,Austria,Salzburg (Salzburger Land),Hochkönig,4.5,1100 m,800 m,1900 m,120 km,52 km,41 km,27 km,34,€ 78.50,2025-12-05 - 2026-04-06,early December - mid April -,08:30 - 16:00,12-07,04-15,EUR,78.5,1.1553,90.69105
